id,latex,language,pronunciation
36787,"\|u_k\|_{L^\infty(B_{\frac{1}{\lambda_k}}(0))}=u_k(0)=\lambda_k^{\frac{4}{p-1}}v_k(0)=1,",eng,"The L infinity norm of the function u sub k, evaluated in the ball around zero with radius one over lambda sub k, is equivalent to the value of u sub k at zero, which further equals lambda sub k raised to the four over p minus one, multiplied by the value of v sub k at zero, all equalling one"
36790,{M_{Q}}^{R} = \sum_{a=1}^{N^2} t^{a} {(M^{a})_{Q}}^{R}.,eng,M sub Q to the power of R equals the sum from a equals one to N squared of t to the power of a times M to the power of a sub Q to the power of R.
36791,{M_{Q}}^{R} = \sum_{a=1}^{N^2} t^{a} {(M^{a})_{Q}}^{R}.,eng,M sub Q raised to R equals the summation from a equals one to N squared of t raised to a times M raised to a sub Q raised to R.
36794,\eta(\alpha h)=\chi_\eta(\alpha)\eta(h).,eng,eta of alpha h equals kai sub eta of alpha times eta of h
36795,\eta(\alpha h)=\chi_\eta(\alpha)\eta(h).,eng,"eta times bracket alpha h close bracket, equals chi sub eta of alpha times eta of h"
36798, \hat q^* = q^* + q_d^*\epsilon.,eng,q hat star equals q star plus q sub d star epsilon
36799, \hat q^* = q^* + q_d^*\epsilon.,eng,q carat asterisk equals q asterisk plus q sub d asterisk epsilon
36802,\lim_{s\to\infty}\tilde{m}(\tilde{\Sigma}_s)=-c_0.,eng,The limit as s approaches infinity of m tilde of Sigma tilde sub s equals negative c naught.
36803,\lim_{s\to\infty}\tilde{m}(\tilde{\Sigma}_s)=-c_0.,eng,The limit of tilde m of tilde Sigma s as s tends to infinity equals minus c zero.
36806," \phi_{s,t} (x,\omega) = \phi_{0,t-s} (x,\theta_s \omega) ",eng,"phi sub s, t of x, omega equals phi sub 0, t minus s of x, theta sub s omega"
36807," \phi_{s,t} (x,\omega) = \phi_{0,t-s} (x,\theta_s \omega) ",eng,"phi s, t in parentheses x, omega equals phi zero, t minus s in parentheses x, theta s omega"
36810, \xi_{a\mathbb{Z}}(\cdot) = \sum_{k \in \mathbb{Z}} \delta_{ak}(\cdot). ,eng,Xi sub a Z of dot equals the sum over k in Z of delta a k of dot.
36811, \xi_{a\mathbb{Z}}(\cdot) = \sum_{k \in \mathbb{Z}} \delta_{ak}(\cdot). ,eng,Xi sub a Z with an argument equals the summation over all k inside integer set Z of delta a k with an argument.
36814,"X(x,y):=\big\langle u(x), u(y)X^\top\big\rangle=\sum_{i=0}^{n-1}\sum_{j=0}^{n-1}x_{ij}x^iy^j,",eng,"1. X of x and y is defined as the inner product of u of x, u of y, and the transpose of X, equals the double sum from i equals 0 to n minus 1 and j equals 0 to n minus 1 of x subscript i j times x to the power of i times y to the power of j."
36815,"X(x,y):=\big\langle u(x), u(y)X^\top\big\rangle=\sum_{i=0}^{n-1}\sum_{j=0}^{n-1}x_{ij}x^iy^j,",eng,"2. X at the point x, y is defined to be the dot product of u evaluated at x and u evaluated at y, and X transpose, equaling the summation as i goes from 0 to n subtract 1 and j goes from 0 to n subtract 1 of x indexed by i j, multiplied by x raised to the power i, multiplied by y raised to the power j."
36818,q_f\cdot{}\bar\pi_f=q_f\cdot{}q_{{R}f},eng,q f dot bar pi f equals q f dot q sub R f
36819,q_f\cdot{}\bar\pi_f=q_f\cdot{}q_{{R}f},eng,q sub f multiplied by bar pi sub f equals q sub f times q sub R sub f
36822, \Phi(s) = \frac{\Psi(0)}{s} + \Psi'(0) + \frac{\Psi''(0)}{2} s + \cdots. ,eng,1. Phi of s equals Psi of zero over s plus Psi prime of zero plus Psi double prime of zero over two times s plus dot dot dot.
36823, \Phi(s) = \frac{\Psi(0)}{s} + \Psi'(0) + \frac{\Psi''(0)}{2} s + \cdots. ,eng,2. Phi s is Psi zero divided by s plus Psi dash of zero plus Psi double dash of zero divided by two s plus and so on.
36826,"\mathcal{E}_X(\tau,\nu)=24\wp(\tau,\nu)E(\tau,\nu)^2\,.",eng,E sub X of tau comma nu equals twenty-four weierstrass p of tau comma nu times E of tau comma nu squared
36827,"\mathcal{E}_X(\tau,\nu)=24\wp(\tau,\nu)E(\tau,\nu)^2\,.",eng,E sub X tau nu equals twenty-four omega p tau nu E tau nu squared
36830,f_s=-{\partial\over\partial a}u=-{\pi^2\over 480}{1\over a^4}.,eng,f sub s equals negative the partial derivative of u with respect to a equals negative pi squared over four hundred eighty multiplied by one over a to the fourth
36831,f_s=-{\partial\over\partial a}u=-{\pi^2\over 480}{1\over a^4}.,eng,f sub s equals negative the partial of u with respect to a equals negative pi squared divided by four hundred eighty times one over a raised to the fourth
36834,"V \rightarrow V + V_{\epsilon}\,\,,\,\,\,\,V_{\epsilon} = \frac{\epsilon^{n}}{\rho_{1}\rho_{2}}",eng,"V arrow V plus V epsilon, comma, comma, comma, V epsilon equals epsilon to the power n over rho one rho two"
36835,"V \rightarrow V + V_{\epsilon}\,\,,\,\,\,\,V_{\epsilon} = \frac{\epsilon^{n}}{\rho_{1}\rho_{2}}",eng,"V goes to V plus V sub epsilon, with V sub epsilon equals epsilon to the n divided by rho one rho two"
36838,"\forall x \in \mathbb{R}^d, \ F(x)=C(F_1(x),...,F_d(x)). ",eng,"For all x in script R to the power of d, F of x equals C of F sub 1 of x, up to F sub d of x."
36839,"\forall x \in \mathbb{R}^d, \ F(x)=C(F_1(x),...,F_d(x)). ",eng,"For every x belonging to the set of real numbers raised to d dimensions, the function F evaluated at x is the super-functor C applied to the functions F sub 1 up to F sub d evaluated at x."
36842,\frac{1}{2\pi }\int_{D_{2}}F=N ,eng,One over two pi integral over D two of F equals N.
36843,\frac{1}{2\pi }\int_{D_{2}}F=N ,eng,One divided by two pi times the integral over domain two of function F equals N.
36846,a+b=c+d,eng,A plus B equals C plus D
36847,a+b=c+d,eng,A added to B gives C added to D
36850," \alpha_0+a^{-i_{n}}=\alpha_0^p+\alpha_1^p\,a^{-i_{n-1}} =\alpha_0^p+\alpha_1\,a^{-i_{n-1}} ",eng,Alpha zero plus a raised to the power of negative i sub n equals alpha zero raised to the power of p plus alpha one raised to the power of p times a raised to the power of negative i sub n minus one equals alpha zero raised to the power of p plus alpha one times a raised to the power of negative i sub n minus one.
36851," \alpha_0+a^{-i_{n}}=\alpha_0^p+\alpha_1^p\,a^{-i_{n-1}} =\alpha_0^p+\alpha_1\,a^{-i_{n-1}} ",eng,Alpha naught plus a to the negative i n is equal to alpha zero to the p plus alpha one to the p times a to the negative i n minus one equals alpha zero to the p plus alpha one times a to negative i n minus one.
36854,"f(\mathbf{n})=-f(-\mathbf{n})\ ,\ \forall\mathbf{n}\in S^{2}",eng,"f of bold n equals minus f of minus bold n, for all bold n in the sphere of dimension 2"
36855,"f(\mathbf{n})=-f(-\mathbf{n})\ ,\ \forall\mathbf{n}\in S^{2}",eng,"f n equals negative f of negative n, for any n within the 2-sphere"
36858,"a_{ri} := \sum_{j \in \mathcal{N}} \bar{x}_{rij}, \ i \in \mathcal{C}. ",eng,"a sub r i colon equals the summation of x bar sub r i j, as j is in the set N, for all i in the set C."
36859,"a_{ri} := \sum_{j \in \mathcal{N}} \bar{x}_{rij}, \ i \in \mathcal{C}. ",eng,"a r i is defined as the sum over j in N of x r i j bar, for each i belonging to C."
36862,"H = \int {dp \over 2\pi}{p^2\over 2} a^*(p) a(p) \; ,",eng,"H equals the integral of the fraction of dp over 2 pi, multiplied by the fraction of p squared over 2, times a star of p, times a of p."
36863,"H = \int {dp \over 2\pi}{p^2\over 2} a^*(p) a(p) \; ,",eng,"H is the integral with respect to dp over 2 pi of p squared over 2, times the conjugate of a of p, times a of p."
36866,"\Delta F_\lambda= \exp\left(\frac{i\pi\tau}{C_1-C_2}\right)\,a_\lambda(\Phi)\;,",eng,"Delta F sub lambda equals exp of left parenthesis, i pi tau over C1 minus C2, right parenthesis, times a sub lambda, of Phi."
36867,"\Delta F_\lambda= \exp\left(\frac{i\pi\tau}{C_1-C_2}\right)\,a_\lambda(\Phi)\;,",eng,"Delta F lambda is the exponential of i times pi times tau divided by C1 minus C2, times a lambda of Phi."
36870,"\begin{gather*}d\mu_0(\gamma)=d\nu_0(u) \times \frac{d\rho_{\infty}}{\rho_{\infty}},\end{gather*}",eng,dee mu zero of gamma equals dee nu zero of u times dee rho infinity over rho infinity
36871,"\begin{gather*}d\mu_0(\gamma)=d\nu_0(u) \times \frac{d\rho_{\infty}}{\rho_{\infty}},\end{gather*}",eng,dee mu naught of gamma is equal to dee nu naught of u multiplied by dee rho infinity divided by rho infinity
36874," \mathcal F = \big\{ L(s, \pi \otimes \chi_{8d}) : d \big\}.",eng,"F equals the set of L of s, π tensor chi sub eight d, as d varies."
36875," \mathcal F = \big\{ L(s, \pi \otimes \chi_{8d}) : d \big\}.",eng,"F equals the collection of L of s, pi o times chi indexed at eight d, for d."
36878,N({\cal A}_{1} {\cal A}_{2})= N({\cal A}_{1})N({\cal A}_{2}) \; \; .,eng,N of script capital A sub one script capital A sub two equals N of script capital A sub one multiplied by N of script capital A sub two
36879,N({\cal A}_{1} {\cal A}_{2})= N({\cal A}_{1})N({\cal A}_{2}) \; \; .,eng,N times script capital A one script capital A two equals N times script capital A one times N times script capital A two
36882,H_\Lambda=\sum\limits_{\Omega \geq \Lambda}K_{\Omega \Lambda}s_\Omega.,eng,"H sub Lambda equals the sum of K sub Omega Lambda s sub Omega, where Omega is greater than or equal to Lambda"
36883,H_\Lambda=\sum\limits_{\Omega \geq \Lambda}K_{\Omega \Lambda}s_\Omega.,eng,H lambda equals summation from Omega greater than or equal to lambda of K omega lambda times s omega
36886,\int_{M} f_{\mu_1 \dots \mu_p} (x)dx^{\mu_1} \dots dx^{\mu_p},eng,"integral over M of f sub mu one through mu p of x, d x superscript mu one through d x superscript mu p"
36887,\int_{M} f_{\mu_1 \dots \mu_p} (x)dx^{\mu_1} \dots dx^{\mu_p},eng,"the integral over M of f sub mu one to mu p of x, with respect to d x to the power of mu one through d x to the power of mu p"
36890,m_t\simeq100 m_c\simeq (100)^2m_u ,eng,m sub t approximately equals 100 times m sub c approximately equals 100 squared times m sub u
36891,m_t\simeq100 m_c\simeq (100)^2m_u ,eng,m t approximately 100 m c approximately 100 squared m u
36894,"\kappa = l-n, \qquad(\lambda-2n)^2 = \left( {m \over a} \right)^2 ",eng,"kappa equals l minus n, lambda minus two n squared equals m over a squared"
36895,"\kappa = l-n, \qquad(\lambda-2n)^2 = \left( {m \over a} \right)^2 ",eng,"kappa is equal to l subtract n, the square of lambda minus two n is equal to the square of m divided by a"
36898,"g^{\overbrace{+ \ldots +}^{k \: times}}= \frac{z^{k-1}}{\bar{z}} ,",eng,g raised to the power of k additions equals z to the power of k minus one divided by the conjugate of z
36899,"g^{\overbrace{+ \ldots +}^{k \: times}}= \frac{z^{k-1}}{\bar{z}} ,",eng,g power k sums equals z to the k minus one over the complex conjugate of z
36902,S^{-1/2} = \left(\begin{array}{rr} 1 & -1 \\ -1 & 2 \end{array}\right),eng,"S to the power of negative one half equals the matrix with elements one, negative one, negative one, and two."
36903,S^{-1/2} = \left(\begin{array}{rr} 1 & -1 \\ -1 & 2 \end{array}\right),eng,"S raised to the minus one half equals a matrix with entries: one, minus one, minus one, and two."
36906,"-\Phi''+\Phi V(x)=k^2\Phi,x>0,",eng,"Minus phi double prime plus phi times vee of x equals kay squared phi, for x greater than zero."
36907,"-\Phi''+\Phi V(x)=k^2\Phi,x>0,",eng,"Negative phi double prime plus phi times vee of x equals kay squared phi, where x is greater than zero."
36910,{\bar{\rho}^2 \over g_D} = \bar{\rho}^2 + a_1^2 \cos^2\theta + a_2^2 \sin^2\theta.,eng,Rho bar squared over g sub D equals rho bar squared plus a one squared cosine squared theta plus a two squared sine squared theta.
36911,{\bar{\rho}^2 \over g_D} = \bar{\rho}^2 + a_1^2 \cos^2\theta + a_2^2 \sin^2\theta.,eng,Rho bar squared divided by g subscript D is equal to rho bar squared added to a one squared times the cosine squared of theta plus a two squared times the sine squared of theta.
36914,"a_k=(u_k,\Psi), \;\;\; a^{\dagger}_k=(u^*_k,\Psi^{\dagger}).",eng,"a sub k equals parentheses u sub k comma capital psi close parentheses, semicolon semicolon, a dagger sub k equals parentheses u star sub k comma capital psi dagger close parentheses."
36915,"a_k=(u_k,\Psi), \;\;\; a^{\dagger}_k=(u^*_k,\Psi^{\dagger}).",eng,"a-k equals open bracket u-k comma psi closed bracket semicolon semicolon, a-dagger k equals open bracket u-star k comma psi dagger closed bracket."
36918,"h_{(1)}\cdot v\cdot S(h_{(2)})=h(v)+\gamma(h,v)",eng,h sub one times v times S of h sub two equals h of v plus gamma of h and v
36919,"h_{(1)}\cdot v\cdot S(h_{(2)})=h(v)+\gamma(h,v)",eng,h one times v times S h two equals h v plus gamma of h v
36922,"d\mathcal{X}_t(\theta)=A\mathcal{X}_t(\theta)dt+B \begin{pmatrix}dW_t\\dV_t\end{pmatrix},",eng,"dee math-calic x sub tee of theta equals A math-calic x sub tee of theta dee tee plus B times the column vector open parenthesis dee W sub tee, dee V sub tee close parenthesis."
36923,"d\mathcal{X}_t(\theta)=A\mathcal{X}_t(\theta)dt+B \begin{pmatrix}dW_t\\dV_t\end{pmatrix},",eng,"dee em-x sub tee of theta equals A em-x sub tee of theta dee tee plus B parenthesis em-vec of dee W sub tee, dee V sub tee."
36926,\overline{\mathcal{W}}=\left\{ p\in \mathbb{P}:_{p^2}(u)=p(p-1)\right\}.,eng,W bar equals the set of all p in script P such that p squared of u equals p times p minus one.
36927,\overline{\mathcal{W}}=\left\{ p\in \mathbb{P}:_{p^2}(u)=p(p-1)\right\}.,eng,W with a line over it is the set of all p belonging to math capital P where the p squared acting on u equals p times the quantity p minus 1.
36930,\gamma_1(y) &=2 |q(y)| + |p_1(y)| + |p_2(y)|.,eng,gamma one of y equals two times the absolute value of q of y plus the absolute value of p one of y plus the absolute value of p two of y.
36931,\gamma_1(y) &=2 |q(y)| + |p_1(y)| + |p_2(y)|.,eng,gamma one parenthesis y is equal to twice the modulus of q of y plus the modulus of p one of y plus the modulus of p two of y.
36934,C_F=\sum_{G\le F}X_G.,eng,C sub F equals the sum over G less than or equal to F of X sub G.
36935,C_F=\sum_{G\le F}X_G.,eng,C_F equals the sum as G runs over all subgroups of F of X G.
36938," (a, ar, ar^2, \ldots, ar^{k-1} ) = a \ast (1,r,r^2,\ldots, r^{k-1}).",eng,open parenthesis a comma a r comma a r to the power of two comma dot dot dot comma a r to the power of k minus one close parenthesis equals a asterisk open parenthesis one comma r comma r to the power of two comma dot dot dot comma r to the power of k minus one close parenthesis
36939," (a, ar, ar^2, \ldots, ar^{k-1} ) = a \ast (1,r,r^2,\ldots, r^{k-1}).",eng,parenthesis a followed by a r followed by a r squared through to a r to the k minus one equals a multiplied by parenthesis one with r r squared through r to the k minus one
36942," e_1(I,M) = \binom{e_0(I,M) - b}{2},",eng,e one of I comma M equals the binomial coefficient of e zero of I comma M minus b over two
36943," e_1(I,M) = \binom{e_0(I,M) - b}{2},",eng,e one I comma M is equal to the combination of e zero I comma M minus b choose two
36946," \lambda:=\det(g_u,g_v,\tilde\nu)= v\det(g_u,\psi,\tilde \nu) ",eng,Lambda colon equals determinant G sub U comma G sub V comma tilde nu close equals V times determinant G sub U comma psi comma tilde nu.
36947," \lambda:=\det(g_u,g_v,\tilde\nu)= v\det(g_u,\psi,\tilde \nu) ",eng,Lambda defined as the determinant of G U G V tilde nu equals V times the determinant of G U psi tilde nu.
36950,"(\ref{2})=({\rm ad}_{q^{-1}}E_{21})q^{E_{22}+E_{nn}}E_{2n}=q^{E_{22}+E_{nn}-1}[E_{21}\,,\,E_{2n}]=0",eng,"Parentheses ref two close parentheses equals parenthesis the adjoint with base q to the power of negative one of E two one close parenthesis q to the power of E two two plus E n n, E two n equals q to the power of E two two plus E n n minus one bracket E two one comma E two n close bracket equals zero."
36951,"(\ref{2})=({\rm ad}_{q^{-1}}E_{21})q^{E_{22}+E_{nn}}E_{2n}=q^{E_{22}+E_{nn}-1}[E_{21}\,,\,E_{2n}]=0",eng,"Equation in reference two equals the adjoint operation with argument q inverse of E twenty-one, multiplied by q to the exponent E twenty-two plus E n n, and then E two n equals q raised to E twenty-two plus E n n minus one times the commutator bracket E twenty-one and E two n close bracket equals zero."
36954,p_a(C)\leq \binom{m}{2}s+m\epsilon.,eng,"""pee sub a of C is less than or equal to m choose two s plus m epsilon."""
36955,p_a(C)\leq \binom{m}{2}s+m\epsilon.,eng,"""pee a of C is less or equal to the combination of m two s plus m epsilon."""
36958,"\sigma_{a,j}^{n}=\sigma_{a,j+n} \hspace{12mm} n=1,..,M \,; \; a=x,y,z",eng,sigma a j n equals sigma a j plus n space n equals one dot dot dot M semicolon space a equals x y z
36959,"\sigma_{a,j}^{n}=\sigma_{a,j+n} \hspace{12mm} n=1,..,M \,; \; a=x,y,z",eng,sigma subscript a comma j superscript n equals sigma subscript a comma j plus n space n equals one to M semicolon a equals x y and z
36962,"S=1,\hspace{0.3in}R\overline{R}=1,\hspace{0.3in}G^{\prime}=GR,\hspace{0.3in}F^{\prime }=FR, ",eng,"S equals one, R overline R equals one, G prime equals G R, F prime equals F R."
36963,"S=1,\hspace{0.3in}R\overline{R}=1,\hspace{0.3in}G^{\prime}=GR,\hspace{0.3in}F^{\prime }=FR, ",eng,"S is one, R bar R is one, G dash equals G R, F dash equals F R."
36966,"\Phi (\rho )=\frac{1}{d-1}\left[ I\,\mathrm{Tr}\rho -\rho ^{\top }\right] ,",eng,Phi of rho equals open fraction one over d minus one close fraction open bracket I Tr rho minus rho transposed close bracket.
36967,"\Phi (\rho )=\frac{1}{d-1}\left[ I\,\mathrm{Tr}\rho -\rho ^{\top }\right] ,",eng,Phi evaluated at rho is equal to one divided by the quantity d minus one times the difference of I times the trace of rho and rho transposed.
36970,1:=[Z^s/G]\in A_*^{F_0}(Z^s/G).,eng,One is equal to open bracket Z to the power S over G close bracket in A sub star superscript F sub zero of Z to the power S over G.
36971,1:=[Z^s/G]\in A_*^{F_0}(Z^s/G).,eng,One equals the expression Z raised to the S divided by G as an element of A star F zero of Z raised to the S over G.
36974, {C\mathcal D'(X)\over E\mathcal D'(X)}= \sum_i H^{i} (X;\mathbb C).,eng,the fraction C-de-prime of X over E-de-prime of X equals the sum of H-i of X with respect to the complex numbers.
36975, {C\mathcal D'(X)\over E\mathcal D'(X)}= \sum_i H^{i} (X;\mathbb C).,eng,"C de-prime X over E de-prime X equals the summation of H to the i of X, considering the set of complex numbers."
36978,"\Pi\big( t\big) = P\big(\omega_0 t \big)\exp\big(t\mathcal{S} \big)P^{-1}(0),",eng,Pi of t equals P of omega zero t e times exp of t times curly S times P inverse of zero.
36979,"\Pi\big( t\big) = P\big(\omega_0 t \big)\exp\big(t\mathcal{S} \big)P^{-1}(0),",eng,Pie t equals P omega naught t times exp parenthesis of t times calligraphic S parenthesis times P inverse of zero.
36982," R^i s_*Q(\breve{N})[n]=0,\, i>0",eng,"R to the power of i S star Q of N-breve of n equals zero, where i is greater than zero"
36983," R^i s_*Q(\breve{N})[n]=0,\, i>0",eng,"R superscript i S star Q of N-hat of n equals zero, i greater than zero"
36986,"e^{i\Gamma[A]}=\int{\cal D}\psi{\cal D}\overline\psi e^{i\int d^2x\overline\psi iD\!\!\!/\psi},",eng,"ee to the power of i Gamma of A equals integral, curly D psi, curly D psi-bar, times ee to the power of i, integral over d squared x, psi-bar, i, De slash, psi."
36987,"e^{i\Gamma[A]}=\int{\cal D}\psi{\cal D}\overline\psi e^{i\int d^2x\overline\psi iD\!\!\!/\psi},",eng,"e raised to the i times Gamma of A is equal to the integral over curly D psi, curly D psi-bar, of e raised to i integral, d squared x, psi-bar, i Dee slash, psi."
36990,"|x ,\pm;\sigma\rangle =T^{\pm}_\sigma (g_{y_{\pm}(x)})|\psi_{0}\rangle",eng,ket x plus sigma equals T superscript plus subscript sigma g of y plus of x ket psi nought
36991,"|x ,\pm;\sigma\rangle =T^{\pm}_\sigma (g_{y_{\pm}(x)})|\psi_{0}\rangle",eng,ket x minus sigma equals T superscript minus subscript sigma g of y minus of x ket psi zero
36994,"G_{j}^{(M)}(y)=j!\binom{M}{j}\left(\frac{2p}{M(1-p)}\right)^{j/2}K_{j}\left(y_{M},p,M\right).",eng,"G sub j superscript M of y equals j factorial times the binomial coefficient of M choose j times left parenthesis fraction two p over M times left parenthesis one minus p right parenthesis right parenthesis superscript j divided by two times K sub j left parenthesis y sub M, p, M right parenthesis."
36995,"G_{j}^{(M)}(y)=j!\binom{M}{j}\left(\frac{2p}{M(1-p)}\right)^{j/2}K_{j}\left(y_{M},p,M\right).",eng,"G subscript j with superscript M, of y, equals j factorial, times binomial M choose j, times open parenthesis two p over M open parenthesis one minus p close parenthesis close parenthesis to the power of j over two times K sub j open parenthesis y sub M, p, M close parenthesis."
36998,"\frac{d^{2}\alpha }{dx^{2}}=\frac{d^{2}\beta }{dy^{2}}=d_{3},d_{3}\in \mathbb{R}. ",eng,"The second derivative of alpha with respect to x squared equals the second derivative of beta with respect to y squared equals d sub three, where d sub three is an element of the real number set."
36999,"\frac{d^{2}\alpha }{dx^{2}}=\frac{d^{2}\beta }{dy^{2}}=d_{3},d_{3}\in \mathbb{R}. ",eng,"The double differential of alpha in terms of x equals the double differential of beta in terms of y equals d three, with d three being a member of the real numbers."
37002," \lim_{t\downarrow 0}K_X(x,y;t)=\delta_{x}(y).",eng,Limit of t as it approaches zero downward of K sub X of x and y with parameter t equals delta sub x of y.
37003," \lim_{t\downarrow 0}K_X(x,y;t)=\delta_{x}(y).",eng,Limit as t approaches zero from above of the operator K_X with inputs x and y over time t equals delta x evaluated at y.
37006," V_n^c(M,[g]):=\inf_{\phi \in I_n(M,[g])}\sup_{\gamma \in G_n} Vol(M,(\gamma\circ \phi)^*can),",eng,V sub n sup c left parenthesis M comma bracket g right bracket colon equals infimum sub phi element of I sub n left parenthesis M comma bracket g right bracket sup sub gamma element of G sub n Volume left parenthesis M comma left parenthesis gamma circle phi right parenthesis superscript star can right parenthesis
37007," V_n^c(M,[g]):=\inf_{\phi \in I_n(M,[g])}\sup_{\gamma \in G_n} Vol(M,(\gamma\circ \phi)^*can),",eng,V n upper c of M bracket g equals infimum over phi in I n of M bracket g of the supremum over gamma in G n of the Volume of M with gamma compose with phi pullback can
37010, \pm k_{0}=\pm i\sqrt{\frac{x}{12t}}.,eng,Option 1: Plus or minus k sub zero equals plus or minus i times the square root of x over twelve t.
37011, \pm k_{0}=\pm i\sqrt{\frac{x}{12t}}.,eng,Option 2: Positive or negative k zero is equal to positive or negative i multiplied by the square root of x divided by twelve t.
37014,"&A^TD-C^TB=I,\quad\, AB^T=BA^T,\quad\, CD^T=DC^T ,\\&A^TC=C^TA, \quad\, B^TD=D^T B,",eng,"A transpose D minus C transpose B equals I, AB transpose equals BA transpose, C D transpose equals DC transpose, A transpose C equals C transpose A, B transpose D equals D transpose B."
37015,"&A^TD-C^TB=I,\quad\, AB^T=BA^T,\quad\, CD^T=DC^T ,\\&A^TC=C^TA, \quad\, B^TD=D^T B,",eng,"A transpose D subtract C transpose B is equal to I, AB transpose is equal to BA transpose, C D transpose is equal to DC transpose, A transpose C is equal to C transpose A, B transpose D is equal to D transpose B."
37018,"x=-r, y=-q.",eng,"x equals negative r, y equals negative q."
37019,"x=-r, y=-q.",eng,"x is equal to the negative of r, y is equal to the negative of q."
37022,"Geo:=\frac{(b-a)(\ddot a-\ddot b)}{(b-a)^2}=\frac{\theta(a)+\theta(b)}{b-a},",eng,Geo equals open parenthesis b minus a close parenthesis open parenthesis double dot a minus double dot b close parenthesis over open parenthesis b minus a close parenthesis squared equals open parenthesis theta of a plus theta of b close parenthesis over b minus a.
37023,"Geo:=\frac{(b-a)(\ddot a-\ddot b)}{(b-a)^2}=\frac{\theta(a)+\theta(b)}{b-a},",eng,Geo is the fraction of open parenthesis b subtract a close parenthesis times open parenthesis the second derivative of a subtract the second derivative of b close parenthesis over open parenthesis b subtract a close parenthesis squared equals the fraction of open parenthesis theta of a plus theta of b close parenthesis over b subtract a.
37026,"(\widetilde Z^1)^{-1} = \sum_{n\ge 1} b_n\, B_n",eng,The tilde Z to the power of one inverse equals the sum for n greater than or equal to one of b subscript n B subscript n.
37027,"(\widetilde Z^1)^{-1} = \sum_{n\ge 1} b_n\, B_n",eng,The inverse of tilde Z raised to the first power is the sum from n equal to one to infinity of b sub n times B sub n.
37030,B_\kappa := \{b \in B \mid b \}.,eng,Bee sub kappa colon equals the set of bee in Bee such that bee.
37031,B_\kappa := \{b \in B \mid b \}.,eng,Bee sub kappa defined as the set comprising elements bee in Bee where bee is.
37034,"\mu \boxtimes \nu := \lim_{n \to \infty} (\mu_n \boxtimes \nu_n) \,,",eng,Myoo box-times noo is defined as the limit as n approaches infinity of myoo sub n box-times noo sub n.
37035,"\mu \boxtimes \nu := \lim_{n \to \infty} (\mu_n \boxtimes \nu_n) \,,",eng,Mu times nu is defined as the limit as n tends to infinity of mu n times nu n.
37038,"ds^2=-dt^2+dx^2_1+\cdots+dx^2_5+H(dy^2_6+\cdots+dy^2_9),\ \ \ e^{2\phi}=H.",eng,deet ess squared equals minus dee tee squared plus dee ex one squared plus dot dot dot dee ex five squared plus aitch open parenthesis dee why six squared plus dot dot dot dee why nine squared close parenthesis comma space e to the power of two fee equals aitch dot
37039,"ds^2=-dt^2+dx^2_1+\cdots+dx^2_5+H(dy^2_6+\cdots+dy^2_9),\ \ \ e^{2\phi}=H.",eng,dee ess squared is equal to negative dee tee squared plus dee ex squared sub one plus ellipses dee ex squared sub five plus aitch parenthesis dee why squared sub six plus ellipses dee why squared sub nine close parenthesis comma e raised to two fee equals aitch
37042,\ast dB_{n-3}=\int_{S}\delta (x-y)d\sigma _{2}(y),eng,star dee-bee sub n minus three equals the integral over S of delta open parenthesis x minus y close parenthesis dee-sigma sub two of y
37043,\ast dB_{n-3}=\int_{S}\delta (x-y)d\sigma _{2}(y),eng,asterisk dee-bee of n minus three equals the integral on S of delta x minus y with respect to sigma two of y
37046,y=(\nabla f+\lambda A)^{-1}(\lambda\xi+\nabla f(y)).,eng,"y equals open parenthesis nabla f plus lambda A close parenthesis to the power of negative one, open parenthesis lambda xi plus nabla f at y close parenthesis"
37047,y=(\nabla f+\lambda A)^{-1}(\lambda\xi+\nabla f(y)).,eng,"y equals parentheses del f plus lambda A closed parentheses to the power of negative one, parentheses lambda xi plus del f of y closed parentheses"
37050,D_x^\alpha x^\beta=\frac{\Gamma(\beta+1)}{\Gamma(\beta-\alpha+1)}x^{\beta-\alpha}\quad,eng,dee sub x to the power of alpha times x to the power of beta equals the fraction of gamma of beta plus one over gamma of beta minus alpha plus one times x to the power of beta minus alpha
37051,D_x^\alpha x^\beta=\frac{\Gamma(\beta+1)}{\Gamma(\beta-\alpha+1)}x^{\beta-\alpha}\quad,eng,dee sub ex alpha x raised to beta equals the quotient of gamma beta plus one over gamma of beta minus alpha plus one times x to the power beta minus alpha
37054,"Z_{m,-n}(s) = Z_d(s) + I(s,\mathcal{C}) + \sideset{}{'} \sum_{r = 1}^{R} R_r(s).",eng,Z sub m comma minus n of s equals Z sub d of s plus I of s comma script C plus the sum over r equals 1 to R prime R sub r of s.
37055,"Z_{m,-n}(s) = Z_d(s) + I(s,\mathcal{C}) + \sideset{}{'} \sum_{r = 1}^{R} R_r(s).",eng,Z with subscript m comma negative n s equals Z sub d s plus I parentheses s comma caligraphic C close parentheses plus the summation prime of r from 1 to R capital R subscript r of s.
37058,"[a]+[a']=[a+a']\ll [b+b']=[b]+[b'],",eng,"Bracket a plus bracket a prime equals bracket a plus a prime, which is much less than bracket b plus b prime equals bracket b plus bracket b prime."
37059,"[a]+[a']=[a+a']\ll [b+b']=[b]+[b'],",eng,"Open bracket a plus open bracket a prime equals open bracket a plus a prime, double less than open bracket b plus b prime equals open bracket b plus open bracket b prime."
